Id,Chinese,English
Npc_Name_1,彼得,
Npc_Name_2,普琳塞丝,
Npc_Name_3,布鲁诺,
Npc_Name_4,芬恩,
Npc_Name_5,伊西丝,
Npc_Name_6,莉莉姆,
Npc_Name_7,佐佐鱼喵次郎,
Item_1,金币,
Item_2,钻石,
Item_5,玩家经验,
Item_11,Npc1的好感度,
Item_12,Npc2的好感度,
Item_13,Npc3的好感度,
Item_14,Npc4的好感度,
Item_15,Npc5的好感度,
Item_16,Npc6的好感度,
Item_17,Npc7的好感度,
Item_11101,短剑,
Item_11102,阔剑,
Item_11103,长剑,
Item_11104,西洋剑,
Item_11105,弯刀,
Item_11106,武士刀,
Item_11107,黑铁巨剑,
Item_11108,秘银剑,
Item_11109,精金巨剑,
Item_11110,精金军刀,
Item_11201,手斧,
Item_11202,铁斧,
Item_11203,板斧,
Item_11204,轻斧,
Item_11205,双刃斧,
Item_11206,战斧,
Item_11207,黑铁板斧,
Item_11208,秘银斧,
Item_11209,精金双刃斧,
Item_11210,熔岩战斧,
Item_11301,手杖,
Item_11302,长棍,
Item_11303,魔法杖,
Item_11304,德鲁伊杖,
Item_11305,巫术之杖,
Item_11306,大师之杖,
Item_11307,元素之杖,
Item_11308,寒冰法杖,
Item_11309,力量之杖,
Item_11310,黑暗法杖,
Item_11401,短弓,
Item_11402,十字弓,
Item_11403,长弓,
Item_11404,复合弓,
Item_11405,精灵弓,
Item_11406,黄金弓,
Item_11407,双重复合弓,
Item_11408,黑暗弓,
Item_11409,神射手之弓,
Item_11410,地狱之弓,
Item_12101,铜盔,
Item_12102,青铜盔,
Item_12103,铁盔,
Item_12104,角盔,
Item_12105,希腊头盔,
Item_12106,桶盔,
Item_12107,骑士头盔,
Item_12108,国王之盔,
Item_12109,巨人之盔,
Item_12110,飞翼头盔,
Item_12201,帽子,
Item_12202,头带,
Item_12203,兜帽,
Item_12204,猎人帽,
Item_12205,法师帽,
Item_12206,贵族圆环,
Item_12207,主教之冠,
Item_12208,大法师之帽,
Item_12209,胜利之冠,
Item_12210,王冠,
Item_13101,铁甲,
Item_13102,锁子甲,
Item_13103,鳞甲,
Item_13104,半身板甲,
Item_13105,全身板甲,
Item_13106,将军铠甲,
Item_13107,皇室铠甲,
Item_13108,符文铠甲,
Item_13109,秘银衫,
Item_13110,龙鳞甲,
Item_13201,皮甲,
Item_13202,硬皮甲,
Item_13203,镶钉皮衣,
Item_13204,镶嵌甲,
Item_13205,蛮族护甲,
Item_13206,甲壳护甲,
Item_13207,盗贼之衣,
Item_13208,剑士之衣,
Item_13209,暗影甲壳,
Item_13210,鬼王铠甲,
Item_13301,亚麻布衬衣,
Item_13302,旅行装,
Item_13303,长袍,
Item_13304,贵族衬衣,
Item_13305,贵族长袍,
Item_13306,法师袍,
Item_13307,丝绸披风,
Item_13308,黑天鹅绒外衣,
Item_13309,寒冰魔法长袍,
Item_13310,火焰魔法长袍,
Item_14101,橡木盾,
Item_14102,圆盾,
Item_14103,方盾,
Item_14104,小圆盾,
Item_14105,鸢盾,
Item_14106,塔盾,
Item_14107,刺钉圆盾,
Item_14108,骷髅盾牌,
Item_14109,圣骑士之盾,
Item_14110,神盾,
Item_14201,戒指,
Item_14202,红宝石戒指,
Item_14203,宝剑之戒,
Item_14204,幸运之戒,
Item_14205,速度之戒,
Item_14206,死亡之戒,
Item_14207,生命之戒,
Item_14208,神秘之戒,
Item_14209,真实之戒,
Item_14210,龙眼戒,
Item_14301,治疗药水,
Item_14302,力量药水,
Item_14303,猛毒药,
Item_14304,法力药水,
Item_14305,致命毒药,
Item_14306,隐形药水,
Item_14307,虚空药水,
Item_14308,圣水,
Item_14309,火焰药水,
Item_14310,英雄药水,
Item_20101,吐司面包,
Item_20102,蛋糕,
Item_20103,苹果派,
Item_20104,草莓蛋糕,
Item_20105,三明治,
Item_20106,柠檬蛋糕,
Item_20107,巧克力蛋糕,
Item_20108,水果缤纷蛋糕,
Item_20109,天鹅派,
Item_20110,宴会蛋糕,
Item_20201,炸鸡腿,
Item_20202,烤牛排,
Item_20203,蘑菇兔肉,
