PlayerLv,RequireExp,TableUnlock,TaskUnlock
1,400,,
2,800,2,12101|13101
3,1240,25,30301|11201
4,1724,21,30007|30501
5,2256,12,14101|20201
6,2841,15,20102|20501
7,3485,4,11401|30008
8,4193,35,30401|30009
9,4972,5,12201|13201
10,5829,6,14301|11301
11,6771,45,30701|13301
12,7808,14,20401
13,8948,40,30003|30901
14,10202,13,20301|30004
15,11582,,30102|30302|20103
16,13100,,30402|30502|30902
17,14770,,30104|30203|30702
18,16607,,30503|30903|20203
19,18627,,20303
20,20849,,30703|20403|20503
21,23293,,30303|11103|12103
22,25982,,11203|11403|13103
23,28940,,30403|11303|12203
24,32194,31,30105|30205
25,35773,,14103|13203|14201
26,39710,,30504|13303|14303
27,44041,,30103|30304|30904
28,48805,,30404|30801|30704
29,54045,,30505|30802|30705
30,59809,,30905|30803|30706
31,66149,,30506|30804|30707
32,73123,,30107|30207|30305
33,80795,,30106|30206|30405
34,89234,36,30507|30906
35,98517,,30508|30907|30708
36,108728,32,30108|30208|30406
37,119960,,30306|30509|30709
38,132316,,30510|30908|30710
39,145907,,30109|30209|30407
40,160857,,30307|30909
41,177302,,30910
42,195392,,
43,215291,,30110|30210
44,237180,,
45,261258,,
46,287743,,
47,316877,,
48,348924,,
49,384176,,
50,422953,,
51,465608,,
52,512528,,
53,564140,,
54,620914,,
55,683365,,
56,752061,,
57,827627,,
58,910749,,
59,1002183,,
60,0,,
